line,poem,text,tokens
1.0,1.0,is the slim tall,"['START_SYMBOL', u'is', u'the', u'slim', u'tall', 'STOP_SYMBOL']"
2.0,1.0,ear-ringed,"['START_SYMBOL', u'ear-ringed', 'STOP_SYMBOL']"
3.0,1.0,bedroom damsel,"['START_SYMBOL', u'bedroom', u'damsel', 'STOP_SYMBOL']"
4.0,1.0,dressed in a long,"['START_SYMBOL', u'dressed', u'in', u'a', u'long', 'STOP_SYMBOL']"
5.0,1.0,gown,"['START_SYMBOL', u'gown', 'STOP_SYMBOL']"
6.0,1.0,she's always high,"['START_SYMBOL', u'she', u""'s"", u'always', u'high', 'STOP_SYMBOL']"
7.0,1.0,in heels,"['START_SYMBOL', u'in', u'heels', 'STOP_SYMBOL']"
8.0,1.0,spirit,"['START_SYMBOL', u'spirit', 'STOP_SYMBOL']"
9.0,1.0,pills,"['START_SYMBOL', u'pills', 'STOP_SYMBOL']"
10.0,1.0,booze,"['START_SYMBOL', u'booze', 'STOP_SYMBOL']"
11.0,1.0,Sandra leans out of,"['START_SYMBOL', u'sandra', u'leans', u'out', u'of', 'STOP_SYMBOL']"
12.0,1.0,her chair,"['START_SYMBOL', u'her', u'chair', 'STOP_SYMBOL']"
13.0,1.0,/leans/ toward,"['START_SYMBOL', u'/leans/', u'toward', 'STOP_SYMBOL']"
14.0,1.0,Glendale,"['START_SYMBOL', u'glendale', 'STOP_SYMBOL']"
15.0,1.0,I wait for her head,"['START_SYMBOL', u'i', u'wait', u'for', u'her', u'head', 'STOP_SYMBOL']"
16.0,1.0,to hit the closet,"['START_SYMBOL', u'to', u'hit', u'the', u'closet', 'STOP_SYMBOL']"
17.0,1.0,doorknob,"['START_SYMBOL', u'doorknob', 'STOP_SYMBOL']"
18.0,1.0,as she attempts to,"['START_SYMBOL', u'as', u'she', u'attempts', u'to', 'STOP_SYMBOL']"
19.0,1.0,light,"['START_SYMBOL', u'light', 'STOP_SYMBOL']"
20.0,1.0,a new cigarette on an,"['START_SYMBOL', u'a', u'new', u'cigarette', u'on', u'an', 'STOP_SYMBOL']"
21.0,1.0,almost burnt-out,"['START_SYMBOL', u'almost', u'burnt-out', 'STOP_SYMBOL']"
22.0,1.0,one,"['START_SYMBOL', u'one', 'STOP_SYMBOL']"
23.0,1.0,at 32 she likes,"['START_SYMBOL', u'at', u'32', u'she', u'likes', 'STOP_SYMBOL']"
24.0,1.0,young neat,"['START_SYMBOL', u'young', u'neat', 'STOP_SYMBOL']"
25.0,1.0,unscratched boys,"['START_SYMBOL', u'unscratched', u'boys', 'STOP_SYMBOL']"
26.0,1.0,with faces like the bottoms,"['START_SYMBOL', u'with', u'faces', u'like', u'the', u'bottoms', 'STOP_SYMBOL']"
27.0,1.0,of new saucers,"['START_SYMBOL', u'of', u'new', u'saucers', 'STOP_SYMBOL']"
28.0,1.0,she has proclaimed as much,"['START_SYMBOL', u'she', u'has', u'proclaimed', u'as', u'much', 'STOP_SYMBOL']"
29.0,1.0,to me,"['START_SYMBOL', u'to', u'me', 'STOP_SYMBOL']"
30.0,1.0,has brought her prizes,"['START_SYMBOL', u'has', u'brought', u'her', u'prizes', 'STOP_SYMBOL']"
31.0,1.0,over for me to view:,"['START_SYMBOL', u'over', u'for', u'me', u'to', u'view', u':', 'STOP_SYMBOL']"
32.0,1.0,silent blonde zeros of young,"['START_SYMBOL', u'silent', u'blonde', u'zeros', u'of', u'young', 'STOP_SYMBOL']"
33.0,1.0,flesh,"['START_SYMBOL', u'flesh', 'STOP_SYMBOL']"
34.0,1.0,who,"['START_SYMBOL', u'who', 'STOP_SYMBOL']"
35.0,1.0,a) sit,"['START_SYMBOL', u'a', u')', u'sit', 'STOP_SYMBOL']"
36.0,1.0,b) stand,"['START_SYMBOL', u'b', u')', u'stand', 'STOP_SYMBOL']"
37.0,1.0,c) talk,"['START_SYMBOL', u'c', u')', u'talk', 'STOP_SYMBOL']"
38.0,1.0,at her command,"['START_SYMBOL', u'at', u'her', u'command', 'STOP_SYMBOL']"
39.0,1.0,sometimes she brings one,"['START_SYMBOL', u'sometimes', u'she', u'brings', u'one', 'STOP_SYMBOL']"
40.0,1.0,sometimes two,"['START_SYMBOL', u'sometimes', u'two', 'STOP_SYMBOL']"
41.0,1.0,sometimes three,"['START_SYMBOL', u'sometimes', u'three', 'STOP_SYMBOL']"
42.0,1.0,for me to,"['START_SYMBOL', u'for', u'me', u'to', 'STOP_SYMBOL']"
43.0,1.0,view,"['START_SYMBOL', u'view', 'STOP_SYMBOL']"
44.0,1.0,Sandra looks very good in,"['START_SYMBOL', u'sandra', u'looks', u'very', u'good', u'in', 'STOP_SYMBOL']"
45.0,1.0,long gowns,"['START_SYMBOL', u'long', u'gowns', 'STOP_SYMBOL']"
46.0,1.0,Sandra could probably break,"['START_SYMBOL', u'sandra', u'could', u'probably', u'break', 'STOP_SYMBOL']"
47.0,1.0,a man's heart,"['START_SYMBOL', u'a', u'man', u""'s"", u'heart', 'STOP_SYMBOL']"
48.0,1.0,I hope she finds,"['START_SYMBOL', u'i', u'hope', u'she', u'finds', 'STOP_SYMBOL']"
49.0,1.0,one.,"['START_SYMBOL', u'one', u'.', 'STOP_SYMBOL']"
1.0,2.0,"you're a beast, she said","['START_SYMBOL', u'you', u""'re"", u'a', u'beast', u',', u'she', u'said', 'STOP_SYMBOL']"
