line,poem,text,tokens
1.0,1.0,is the slim tall,"[u'start_symbol', u'is', u'the', u'slim', u'tall', u'stop_symbol']"
2.0,1.0,ear-ringed,"[u'start_symbol', u'ear-ringed', u'stop_symbol']"
3.0,1.0,bedroom damsel,"[u'start_symbol', u'bedroom', u'damsel', u'stop_symbol']"
4.0,1.0,dressed in a long,"[u'start_symbol', u'dressed', u'in', u'a', u'long', u'stop_symbol']"
5.0,1.0,gown,"[u'start_symbol', u'gown', u'stop_symbol']"
6.0,1.0,she's always high,"[u'start_symbol', u'she', u""'s"", u'always', u'high', u'stop_symbol']"
7.0,1.0,in heels,"[u'start_symbol', u'in', u'heels', u'stop_symbol']"
8.0,1.0,spirit,"[u'start_symbol', u'spirit', u'stop_symbol']"
9.0,1.0,pills,"[u'start_symbol', u'pills', u'stop_symbol']"
10.0,1.0,booze,"[u'start_symbol', u'booze', u'stop_symbol']"
11.0,1.0,Sandra leans out of,"[u'start_symbol', u'sandra', u'leans', u'out', u'of', u'stop_symbol']"
12.0,1.0,her chair,"[u'start_symbol', u'her', u'chair', u'stop_symbol']"
13.0,1.0,/leans/ toward,"[u'start_symbol', u'/leans/', u'toward', u'stop_symbol']"
14.0,1.0,Glendale,"[u'start_symbol', u'glendale', u'stop_symbol']"
15.0,1.0,I wait for her head,"[u'start_symbol', u'i', u'wait', u'for', u'her', u'head', u'stop_symbol']"
16.0,1.0,to hit the closet,"[u'start_symbol', u'to', u'hit', u'the', u'closet', u'stop_symbol']"
17.0,1.0,doorknob,"[u'start_symbol', u'doorknob', u'stop_symbol']"
18.0,1.0,as she attempts to,"[u'start_symbol', u'as', u'she', u'attempts', u'to', u'stop_symbol']"
19.0,1.0,light,"[u'start_symbol', u'light', u'stop_symbol']"
20.0,1.0,a new cigarette on an,"[u'start_symbol', u'a', u'new', u'cigarette', u'on', u'an', u'stop_symbol']"
21.0,1.0,almost burnt-out,"[u'start_symbol', u'almost', u'burnt-out', u'stop_symbol']"
22.0,1.0,one,"[u'start_symbol', u'one', u'stop_symbol']"
23.0,1.0,at 32 she likes,"[u'start_symbol', u'at', u'32', u'she', u'likes', u'stop_symbol']"
24.0,1.0,young neat,"[u'start_symbol', u'young', u'neat', u'stop_symbol']"
25.0,1.0,unscratched boys,"[u'start_symbol', u'unscratched', u'boys', u'stop_symbol']"
26.0,1.0,with faces like the bottoms,"[u'start_symbol', u'with', u'faces', u'like', u'the', u'bottoms', u'stop_symbol']"
27.0,1.0,of new saucers,"[u'start_symbol', u'of', u'new', u'saucers', u'stop_symbol']"
28.0,1.0,she has proclaimed as much,"[u'start_symbol', u'she', u'has', u'proclaimed', u'as', u'much', u'stop_symbol']"
29.0,1.0,to me,"[u'start_symbol', u'to', u'me', u'stop_symbol']"
30.0,1.0,has brought her prizes,"[u'start_symbol', u'has', u'brought', u'her', u'prizes', u'stop_symbol']"
31.0,1.0,over for me to view:,"[u'start_symbol', u'over', u'for', u'me', u'to', u'view', u':', u'stop_symbol']"
32.0,1.0,silent blonde zeros of young,"[u'start_symbol', u'silent', u'blonde', u'zeros', u'of', u'young', u'stop_symbol']"
33.0,1.0,flesh,"[u'start_symbol', u'flesh', u'stop_symbol']"
34.0,1.0,who,"[u'start_symbol', u'who', u'stop_symbol']"
35.0,1.0,a) sit,"[u'start_symbol', u'a', u')', u'sit', u'stop_symbol']"
36.0,1.0,b) stand,"[u'start_symbol', u'b', u')', u'stand', u'stop_symbol']"
37.0,1.0,c) talk,"[u'start_symbol', u'c', u')', u'talk', u'stop_symbol']"
38.0,1.0,at her command,"[u'start_symbol', u'at', u'her', u'command', u'stop_symbol']"
39.0,1.0,sometimes she brings one,"[u'start_symbol', u'sometimes', u'she', u'brings', u'one', u'stop_symbol']"
40.0,1.0,sometimes two,"[u'start_symbol', u'sometimes', u'two', u'stop_symbol']"
41.0,1.0,sometimes three,"[u'start_symbol', u'sometimes', u'three', u'stop_symbol']"
42.0,1.0,for me to,"[u'start_symbol', u'for', u'me', u'to', u'stop_symbol']"
43.0,1.0,view,"[u'start_symbol', u'view', u'stop_symbol']"
44.0,1.0,Sandra looks very good in,"[u'start_symbol', u'sandra', u'looks', u'very', u'good', u'in', u'stop_symbol']"
45.0,1.0,long gowns,"[u'start_symbol', u'long', u'gowns', u'stop_symbol']"
46.0,1.0,Sandra could probably break,"[u'start_symbol', u'sandra', u'could', u'probably', u'break', u'stop_symbol']"
47.0,1.0,a man's heart,"[u'start_symbol', u'a', u'man', u""'s"", u'heart', u'stop_symbol']"
48.0,1.0,I hope she finds,"[u'start_symbol', u'i', u'hope', u'she', u'finds', u'stop_symbol']"
49.0,1.0,one.,"[u'start_symbol', u'one', u'.', u'stop_symbol']"
1.0,2.0,"you're a beast, she said","[u'start_symbol', u'you', u""'re"", u'a', u'beast', u',', u'she', u'said', u'stop_symbol']"
2.0,2.0,your big white belly,"[u'start_symbol', u'your', u'big', u'white', u'belly', u'stop_symbol']"
3.0,2.0,and those hairy feet.,"[u'start_symbol', u'and', u'those', u'hairy', u'feet', u'.', u'stop_symbol']"
4.0,2.0,you never cut your nails,"[u'start_symbol', u'you', u'never', u'cut', u'your', u'nails', u'stop_symbol']"
5.0,2.0,and you have fat hands,"[u'start_symbol', u'and', u'you', u'have', u'fat', u'hands', u'stop_symbol']"
6.0,2.0,paws like a cat,"[u'start_symbol', u'paws', u'like', u'a', u'cat', u'stop_symbol']"
7.0,2.0,your bright red nose,"[u'start_symbol', u'your', u'bright', u'red', u'nose', u'stop_symbol']"
8.0,2.0,and the biggest balls,"[u'start_symbol', u'and', u'the', u'biggest', u'balls', u'stop_symbol']"
9.0,2.0,I've ever seen.,"[u'start_symbol', u'i', u""'ve"", u'ever', u'seen', u'.', u'stop_symbol']"
10.0,2.0,you shoot sperm like a,"[u'start_symbol', u'you', u'shoot', u'sperm', u'like', u'a', u'stop_symbol']"
11.0,2.0,whale shoots water out of the,"[u'start_symbol', u'whale', u'shoots', u'water', u'out', u'of', u'the', u'stop_symbol']"
12.0,2.0,hole in its back.,"[u'start_symbol', u'hole', u'in', u'its', u'back', u'.', u'stop_symbol']"
13.0,2.0,"beast beast beast,","[u'start_symbol', u'beast', u'beast', u'beast', u',', u'stop_symbol']"
14.0,2.0,"she kissed me,","[u'start_symbol', u'she', u'kissed', u'me', u',', u'stop_symbol']"
15.0,2.0,what do you want for,"[u'start_symbol', u'what', u'do', u'you', u'want', u'for', u'stop_symbol']"
16.0,2.0,breakfast?,"[u'start_symbol', u'breakfast', u'?', u'stop_symbol']"
1.0,3.0,I'm big,"[u'start_symbol', u'i', u""'m"", u'big', u'stop_symbol']"
2.0,3.0,I suppose that's why my women always seem,"[u'start_symbol', u'i', u'suppose', u'that', u""'s"", u'why', u'my', u'women', u'always', u'seem', u'stop_symbol']"
3.0,3.0,small,"[u'start_symbol', u'small', u'stop_symbol']"
4.0,3.0,but this 6 foot goddess,"[u'start_symbol', u'but', u'this', u'6', u'foot', u'goddess', u'stop_symbol']"
5.0,3.0,who deals in real estate,"[u'start_symbol', u'who', u'deals', u'in', u'real', u'estate', u'stop_symbol']"
6.0,3.0,and art,"[u'start_symbol', u'and', u'art', u'stop_symbol']"
7.0,3.0,and flies from Texas,"[u'start_symbol', u'and', u'flies', u'from', u'texas', u'stop_symbol']"
8.0,3.0,to see me,"[u'start_symbol', u'to', u'see', u'me', u'stop_symbol']"
9.0,3.0,and I fly to Texas,"[u'start_symbol', u'and', u'i', u'fly', u'to', u'texas', u'stop_symbol']"
10.0,3.0,to see her---,"[u'start_symbol', u'to', u'see', u'her', u'--', u'-', u'stop_symbol']"
11.0,3.0,"well, there's plenty of her to","[u'start_symbol', u'well', u',', u'there', u""'s"", u'plenty', u'of', u'her', u'to', u'stop_symbol']"
12.0,3.0,grab hold of,"[u'start_symbol', u'grab', u'hold', u'of', u'stop_symbol']"
13.0,3.0,and I grab hold of it,"[u'start_symbol', u'and', u'i', u'grab', u'hold', u'of', u'it', u'stop_symbol']"
14.0,3.0,"of her,","[u'start_symbol', u'of', u'her', u',', u'stop_symbol']"
15.0,3.0,"I yank her head back by the hair,","[u'start_symbol', u'i', u'yank', u'her', u'head', u'back', u'by', u'the', u'hair', u',', u'stop_symbol']"
16.0,3.0,"I'm real macho,","[u'start_symbol', u'i', u""'m"", u'real', u'macho', u',', u'stop_symbol']"
17.0,3.0,I suck on her upper lip,"[u'start_symbol', u'i', u'suck', u'on', u'her', u'upper', u'lip', u'stop_symbol']"
18.0,3.0,her cunt,"[u'start_symbol', u'her', u'cunt', u'stop_symbol']"
19.0,3.0,her soul,"[u'start_symbol', u'her', u'soul', u'stop_symbol']"
20.0,3.0,"I mount her and tell her,","[u'start_symbol', u'i', u'mount', u'her', u'and', u'tell', u'her', u',', u'stop_symbol']"
21.0,3.0,"""I'm going to shoot white hot","[u'start_symbol', u'``', u'i', u""'m"", u'going', u'to', u'shoot', u'white', u'hot', u'stop_symbol']"
22.0,3.0,juice into you. I didn't fly all the,"[u'start_symbol', u'juice', u'into', u'you', u'.', u'i', u'did', u""n't"", u'fly', u'all', u'the', u'stop_symbol']"
23.0,3.0,way to Galveston to play,"[u'start_symbol', u'way', u'to', u'galveston', u'to', u'play', u'stop_symbol']"
24.0,3.0,"chess.""","[u'start_symbol', u'chess', u'.', u""''"", u'stop_symbol']"
25.0,3.0,later we lay locked like human vines,"[u'start_symbol', u'later', u'we', u'lay', u'locked', u'like', u'human', u'vines', u'stop_symbol']"
26.0,3.0,my left arm under her pillow,"[u'start_symbol', u'my', u'left', u'arm', u'under', u'her', u'pillow', u'stop_symbol']"
27.0,3.0,my right arm over her side,"[u'start_symbol', u'my', u'right', u'arm', u'over', u'her', u'side', u'stop_symbol']"
28.0,3.0,"I grip both of her hands,","[u'start_symbol', u'i', u'grip', u'both', u'of', u'her', u'hands', u',', u'stop_symbol']"
29.0,3.0,and my chest,"[u'start_symbol', u'and', u'my', u'chest', u'stop_symbol']"
30.0,3.0,belly,"[u'start_symbol', u'belly', u'stop_symbol']"
31.0,3.0,balls,"[u'start_symbol', u'balls', u'stop_symbol']"
32.0,3.0,cock,"[u'start_symbol', u'cock', u'stop_symbol']"
33.0,3.0,tangle into her,"[u'start_symbol', u'tangle', u'into', u'her', u'stop_symbol']"
34.0,3.0,and through us,"[u'start_symbol', u'and', u'through', u'us', u'stop_symbol']"
35.0,3.0,in the dark,"[u'start_symbol', u'in', u'the', u'dark', u'stop_symbol']"
36.0,3.0,pass rays,"[u'start_symbol', u'pass', u'rays', u'stop_symbol']"
37.0,3.0,back and forth,"[u'start_symbol', u'back', u'and', u'forth', u'stop_symbol']"
38.0,3.0,back and forth,"[u'start_symbol', u'back', u'and', u'forth', u'stop_symbol']"
39.0,3.0,until I fall away,"[u'start_symbol', u'until', u'i', u'fall', u'away', u'stop_symbol']"
40.0,3.0,and we sleep.,"[u'start_symbol', u'and', u'we', u'sleep', u'.', u'stop_symbol']"
41.0,3.0,she's wild,"[u'start_symbol', u'she', u""'s"", u'wild', u'stop_symbol']"
42.0,3.0,but kind,"[u'start_symbol', u'but', u'kind', u'stop_symbol']"
43.0,3.0,my 6 foot goddess,"[u'start_symbol', u'my', u'6', u'foot', u'goddess', u'stop_symbol']"
44.0,3.0,makes me laugh,"[u'start_symbol', u'makes', u'me', u'laugh', u'stop_symbol']"
45.0,3.0,the laughter of the mutilated,"[u'start_symbol', u'the', u'laughter', u'of', u'the', u'mutilated', u'stop_symbol']"
46.0,3.0,who still need,"[u'start_symbol', u'who', u'still', u'need', u'stop_symbol']"
47.0,3.0,"love,","[u'start_symbol', u'love', u',', u'stop_symbol']"
48.0,3.0,and her blessed eyes,"[u'start_symbol', u'and', u'her', u'blessed', u'eyes', u'stop_symbol']"
49.0,3.0,run deep into her head,"[u'start_symbol', u'run', u'deep', u'into', u'her', u'head', u'stop_symbol']"
50.0,3.0,like mountain springs,"[u'start_symbol', u'like', u'mountain', u'springs', u'stop_symbol']"
51.0,3.0,far in,"[u'start_symbol', u'far', u'in', u'stop_symbol']"
52.0,3.0,and,"[u'start_symbol', u'and', u'stop_symbol']"
53.0,3.0,cool and good.,"[u'start_symbol', u'cool', u'and', u'good', u'.', u'stop_symbol']"
54.0,3.0,she has saved me,"[u'start_symbol', u'she', u'has', u'saved', u'me', u'stop_symbol']"
55.0,3.0,from everything that is,"[u'start_symbol', u'from', u'everything', u'that', u'is', u'stop_symbol']"
56.0,3.0,not here.,"[u'start_symbol', u'not', u'here', u'.', u'stop_symbol']"
1.0,4.0,you sit on the couch,"[u'start_symbol', u'you', u'sit', u'on', u'the', u'couch', u'stop_symbol']"
2.0,4.0,with me,"[u'start_symbol', u'with', u'me', u'stop_symbol']"
3.0,4.0,tonight,"[u'start_symbol', u'tonight', u'stop_symbol']"
4.0,4.0,new woman.,"[u'start_symbol', u'new', u'woman', u'.', u'stop_symbol']"
5.0,4.0,have you seen the,"[u'start_symbol', u'have', u'you', u'seen', u'the', u'stop_symbol']"
6.0,4.0,animal-eater,"[u'start_symbol', u'animal-eater', u'stop_symbol']"
7.0,4.0,documentaries?,"[u'start_symbol', u'documentaries', u'?', u'stop_symbol']"
8.0,4.0,they show death.,"[u'start_symbol', u'they', u'show', u'death', u'.', u'stop_symbol']"
9.0,4.0,and now I wonder,"[u'start_symbol', u'and', u'now', u'i', u'wonder', u'stop_symbol']"
10.0,4.0,which animal of,"[u'start_symbol', u'which', u'animal', u'of', u'stop_symbol']"
11.0,4.0,us will eat the,"[u'start_symbol', u'us', u'will', u'eat', u'the', u'stop_symbol']"
12.0,4.0,other first,"[u'start_symbol', u'other', u'first', u'stop_symbol']"
13.0,4.0,physically and,"[u'start_symbol', u'physically', u'and', u'stop_symbol']"
14.0,4.0,last,"[u'start_symbol', u'last', u'stop_symbol']"
15.0,4.0,spiritually?,"[u'start_symbol', u'spiritually', u'?', u'stop_symbol']"
16.0,4.0,we consume animals,"[u'start_symbol', u'we', u'consume', u'animals', u'stop_symbol']"
17.0,4.0,and then one of us,"[u'start_symbol', u'and', u'then', u'one', u'of', u'us', u'stop_symbol']"
18.0,4.0,"consumes the other,","[u'start_symbol', u'consumes', u'the', u'other', u',', u'stop_symbol']"
19.0,4.0,my love.,"[u'start_symbol', u'my', u'love', u'.', u'stop_symbol']"
20.0,4.0,meanwhile,"[u'start_symbol', u'meanwhile', u'stop_symbol']"
21.0,4.0,I'd prefer you go,"[u'start_symbol', u'i', u""'d"", u'prefer', u'you', u'go', u'stop_symbol']"
22.0,4.0,first the first way,"[u'start_symbol', u'first', u'the', u'first', u'way', u'stop_symbol']"
